,compounds,mzs,shortRT,mz,ratios,gro,int,longRT,estC,SS,phenolics,acid,NN,aliph,CO,bs,ord,,,,,,,,,,,,
19.881,,600.199,1.549148829,c(600.19875113908, 601.199917770662),c(1, 0.300555895298587),19,c(22354.936974418, 6719.88130141157),1.771868961,26,0,2,0,0,0,0,1,878,,,,,,,,,
19.883,,602.144,1.576142793,c(602.143538856626, 603.148308094091),c(1, 0.243020719859286),19,c(16671.4262316448, 4049.75640119892),1.808607692,21,0,1,0,0,0,0,1,880,,,,,,,,,
19.89,,604.181,1.570684619,c(604.180763669987,605.1812371,606.1917975, 608.21175799619),c(1,0.488672868,1.01123353, 1.17634836170258),19,c(8274.86560432981,4041.667196,8365.049981, 9727.35427954613),1.8011748,43,0,6,0,0,0,1,0,887,,,
19.917,,614.181,1.597248304,c(614.181405529532,615.18297, 616.170583155021),c(1,0.328259607, 0.833579741596487),19,c(9262.25724376601,3048.460855, 7722.34318716183),1.837370205,29,0,3,0,0,0,0,1,915,,,,,,
19.98,,644.178,1.588070347,c(644.177570748433,645.181263, 646.183259811889),c(1,0.282541098, 0.171754828901812),19,c(22342.5271956092,6315.717801, 3841.1717151134),1.824858333,25,0,2,0,0,0,0,1,978,,,,,,
19.1,,652.208,1.555102311,c(652.207604998348, 653.208090939184),c(1, 0.263559596366615),19,c(7095.95106805831, 1872.00875726237),1.77996707,23,0,1,0,0,0,0,1,998,,,,,,,,,
19.1018,,660.188,1.590495791,c(660.187667974846, 661.208206329017),c(1, 0.372778257332348),19,c(4947.74523692381, 1848.95675197289),1.828164195,33,0,4,0,0,0,0,1,1016,,,,,,,,,
19.1031,,664.204,1.563322782,c(664.204345850537, 665.214338698197),c(1, 0.361931699195608),19,c(6013.43214505708, 2182.11175177491),1.791153023,32,0,3,0,0,0,0,1,1029,,,,,,,,,
19.104,stachyose,666.219,1.554953301,c(666.21866875007, 667.221429412698),c(1, 0.264921933469662),19,c(14914.2383968523, 3956.70803713062),1.779764351,23,0,1,0,0,0,0,1,1038,,,,,,,,,
19.1062,,676.178,1.57285316,c(676.177510343605, 677.198186096739),c(1, 0.49245745594319),19,c(4523.82430358555, 2229.9022547081),1.804127634,43,0,6,0,0,0,0,0,1061,,,,,,,,,
19.108,,682.229,1.583554431,c(682.229393673643, 683.243585179782),c(1, 0.326284926815044),19,c(7898.66697580741, 2580.53746793657),1.818704374,28,0,2,0,0,0,0,1,1080,,,,,,,,,
19.1104,,694.211,1.56225599,c(694.211139380095, 695.221043425311),c(1, 0.406611082538155),19,c(5307.47925017079, 2159.75965791839),1.789701114,36,0,4,0,0,0,0,1,1104,,,,,,,,,
19.1109,,696.231,1.549468469,c(696.231079853946, 697.232191403651),c(1, 0.286085500844965),19,c(19229.3738692574, 5501.83972613415),1.77230368,25,0,1,0,0,0,0,1,1109,,,,,,,,,
19.1127,,702.197,1.581901703,c(702.197190292321,703.200067, 704.195827900414),c(1,0.29310956, 0.450712824596537),19,c(21932.251294568,6431.554748, 9885.91375469944),1.816452546,26,0,1,0,0,0,0,1,1127,,,,,,
19.1159,,716.206,1.600265146,c(716.205614579522,717.2140973, 718.207807801663),c(1,0.352127388, 0.570136412561928),19,c(4635.53665892691,1642.400058, 2641.90613626493),1.841484349,31,0,3,0,0,0,0,1,1159,,,,,,
19.1172,,722.215,1.555270285,c(722.215465571824,723.2259038,724.2240855, 725.220333711667),c(1,0.541020142,0.950396156, 0.492856309453502),19,c(4650.17845565935,2520.661954,4419.543903, 2295.34143363105),1.78019559,47,0,7,0,0,0,0,0,1172,,,
19.1197,,738.232,1.576051736,c(738.231878282969,739.2336909, 740.256935809394),c(1,0.381987393, 0.42684837281383),19,c(6203.38406255245,2368.537977, 2646.7001306503),1.808483672,33,0,3,0,0,0,0,1,1197,,,,,,
19.1248,,764.195,1.583860529,c(764.195152589074, 765.199694143774),c(1, 0.298139681174655),19,c(9374.96793109804, 2795.75548457823),1.819121452,26,0,1,0,0,0,0,1,1248,,,,,,,,,
19.1322,,806.225,1.579283289,c(806.224543122551,807.234448, 808.242003930024),c(1,0.411830634, 0.384175329041601),19,c(6378.71461549618,2623.426146, 2451.68570257401),1.812885402,36,0,3,0,0,0,0,1,1322,,,,,,
19.1333,,812.245,1.55541101,c(812.244851918766,813.2496789, 814.256709434189),c(1,0.47767781, 0.707963987001388),19,c(3421.06791132719,1633.490346, 2421.99287830571),1.780387041,42,0,5,0,0,0,0,1,1333,,,,,,
19.1359,,826.259,1.549298545,c(826.258937601378, 827.260762541556),c(1, 0.538470302175078),19,c(2959.78515742411, 1589.96618292923),1.772072578,47,0,6,0,0,0,0,0,1359,,,,,,,,,
19.1367,,828.272,1.561697492,c(828.272063060272,829.2755717, 830.272753207589),c(1,0.342429135, 0.180468220790984),19,c(10231.5087044913,3506.347083, 1851.47409032134),1.788941029,30,1,1,0,1,0,0,0,1367,,,,,,
19.1382,,838.224,1.58963456,c(838.223628280262,839.2496891, 840.24578642228),c(1,0.591080537, 0.873430742048487),19,c(2456.80874076721,1451.861099, 2145.95802531162),1.826990292,52,0,7,0,0,0,0,0,1382,,,,,,
19.1389,,842.279,1.564283087,c(842.27928435745,843.2904494, 844.284945290924),c(1,0.437178824, 1.19483087937309),19,c(3385.82863905682,1480.212583, 4048.32742416688),1.792460074,38,0,3,0,0,0,0,1,1389,,,,,,
19.1403,,852.25,1.544562442,c(852.249930395624, 853.255935727658),c(1, 0.408894459484292),19,c(4132.27072667031, 1693.32132556549),1.765632146,36,0,3,0,0,0,0,1,1403,,,,,,,,,
19.1413,,858.285,1.547478171,c(858.284966005726, 859.287254227953),c(1, 0.369236631584453),19,c(10415.0537994321, 3847.89574596462),1.769596938,32,0,1,0,0,0,0,1,1413,,,,,,,,,
19.1424,,864.252,1.589907966,c(864.25188674541,865.2535937,866.2511438, 867.253178863014),c(1,0.344932966,0.452028277, 0.158564816942585),19,c(16553.5395417815,5712.658565,7484.197312, 2625.84535149893),1.827362952,30,0,1,0,0,0,0,1,1424,,,
19.146,,898.329,1.555426833,c(898.329411263505,899.3293859, 900.316599885735),c(1,0.461298668, 0.390968990523871),19,c(6290.78774702596,2898.900954, 2454.8557695324),1.780408568,40,0,3,0,0,0,0,1,1460,,,,,,
19.1503,,926.247,1.582716807,c(926.247326757899, 927.245545673745),c(1, 0.374787350866798),19,c(6445.3034966669, 2419.24893381911),1.817563093,33,0,1,0,0,0,0,1,1503,,,,,,,,,
19.1518,,940.34,1.585674143,c(940.339557297827,941.3409374, 942.337266782898),c(1,0.450141229, 0.204200291522755),19,c(9214.44860732077,4149.378835, 1882.41485213597),1.821592768,39,1,2,0,1,0,0,0,1518,,,,,,
19.1553,,966.274,1.584105922,c(966.273510678997,967.2753071,968.2852353,969.2909204, 970.282980953519),c(1,0.526762515,1.112448933,0.50454851, 0.407594817616965),19,c(3550.15837781278,1870.019299,3952.048988,1795.520738, 1447.36399708637),1.819455822,46,0,4,0,0,0,0,1,1553
19.1585,,990.33,1.571394219,c(990.330437792465, 991.331360078864),c(1, 0.417370108232044),19,c(7535.94766846586, 3147.03717220181),1.802141002,37,0,2,0,0,0,0,1,1585,,,,,,,,,
19.1619,,1020.339,1.552484453,c(1020.33905827901, 1021.3415462842),c(1, 0.424799304660348),19,c(5477.61384922524, 2325.63822995188),1.776405865,37,0,1,0,0,0,0,1,1619,,,,,,,,,
19.1626,,1026.307,1.597020644,c(1026.30695699194,1027.311538,1028.30756, 1029.31098548087),c(1,0.416633995,0.51624728, 0.209438561648863),19,c(10619.443595882,4425.245244,5484.502207, 2226.7132113514),1.837059769,36,0,1,0,0,0,0,1,1626,,,
19.1698,,1088.302,1.58459455,c(1088.30206459009,1089.305797, 1090.28820774683),c(1,0.587563628, 0.310093053451435),19,c(4073.59604582364,2396.510366, 1266.12572669882),1.820121634,52,1,4,0,0,0,0,0,1698,,,,,,
19.1774,,1152.379,1.568244275,c(1152.37930987253, 1153.38511657331),c(1, 0.493423342810735),19,c(4429.63752313119, 2180.85791100946),1.797852281,43,0,2,0,0,0,0,1,1774,,,,,,,,,
19.1811,,1188.363,1.594099994,c(1188.36279606457,1189.370499, 1190.35865480895),c(1,0.521682876, 0.553573603767811),19,c(4736.07338111008,2467.693318, 2620.71668516765),1.833077531,46,0,2,0,0,0,0,1,1811,,,,,,
23.239,,324.142,10.02300453,c(324.142163981549, 325.145094150803),c(1, 0.150439417535077),23,c(51867.2798446299, 7808.06902811775),18.05383157,13,0,0,1,0,0,0,1,221,,,,,,,,,
23.268,,338.103,10.02329557,c(338.103011845005, 339.106179925817),c(1, 0.179333705513804),23,c(60988.1581013605, 10947.9586381135),18.0543787,15,0,1,0,0,0,0,1,250,,,,,,,,,
23.343,,368.13,10.02363214,c(368.130373524222, 369.135170857582),c(1, 0.170495331668947),23,c(64119.1253537203, 10942.1766514232),18.0550114,15,0,1,0,0,0,0,1,328,,,,,,,,,
23.358,,376.137,10.02009053,c(376.136992375479,377.1407383, 378.14282993556),c(1,0.18819591, 0.0752941579734773),23,c(68880.1827635833,12964.95623, 5200.18219745777),18.04835228,16,0,1,0,0,0,0,1,343,,,,,,
30.252,,328.225,21.50134995,c(328.224853169847, 329.229670543458),c(1, 0.200393233156134),30,c(1002295.77213915, 200853.290357688),37.56753433,17,0,1,1,0,0,0,1,234,,,,,,,,,
30.293,,346.236,21.5127905,c(346.236258481464, 347.241886595468),c(1, 0.17179121380488),30,c(82971.4300237704, 14071.3700351848),37.65056679,15,0,0,1,0,0,0,1,275,,,,,,,,,
30.353,,372.252,21.50289319,c(372.251771418669, 373.254002938432),c(1, 0.28794631195077),30,c(145028.566210404, 41760.4407677937),37.57871169,25,0,2,0,0,0,1,0,338,,,,,,,,,
30.596,,474.155,21.50366046,c(474.155036709862, 475.157266726646),c(1, 0.283397416770101),30,c(122095.031130386, 34601.4164228165),37.58427154,25,0,2,0,0,0,0,0,586,,,,,,,,,
30.708,,520.328,21.49400314,c(520.328281847716, 521.343374100064),c(1, 0.198529248076681),30,c(49355.0862623831, 9772.85710794776),37.51442168,17,0,0,1,1,0,0,1,703,,,,,,,,,
30.95,,628.346,21.50703357,c(628.346087635714, 629.341966123188),c(1, 0.450788723889665),30,c(9498.25648958512, 4281.70692211681),37.60873508,39,0,4,0,0,0,0,0,948,,,,,,,,,
30.962,,634.376,21.52961181,c(634.375917087483, 635.379664832318),c(1, 0.393714923984367),30,c(19027.2164952177, 7491.29909604872),37.77337178,34,0,3,0,0,0,0,1,960,,,,,,,,,
30.971,,638.305,21.50635464,c(638.304901559379, 639.299937628757),c(1, 0.353714287404126),30,c(21221.5448205605, 7506.3636038193),37.60380836,31,0,2,0,0,0,0,1,969,,,,,,,,,
30.114,,708.358,21.49366451,c(708.357959781993, 709.361725723395),c(1, 0.390768573963639),30,c(30349.6538544597, 11857.9205349542),37.51197753,34,0,2,0,0,0,0,1,1140,,,,,,,,,
30.1331,,810.431,21.50644758,c(810.431272413332, 811.43334278029),c(1, 0.455148772047917),30,c(32288.7957732603, 14696.2057471054),37.6044827,40,0,3,0,0,0,0,1,1331,,,,,,,,,
30.1384,,840.44,21.51176862,c(840.439726062179, 841.447976605931),c(1, 0.478004877836622),30,c(15916.4806902838, 7596.16886391524),37.6431341,42,0,3,0,0,0,0,1,1384,,,,,,,,,
30.1414,,858.459,21.51077984,c(858.458658483046, 859.461668950073),c(1, 0.498266658782706),30,c(9915.83460820586, 4940.72977927266),37.63594526,44,0,3,0,0,0,0,1,1414,,,,,,,,,
30.1637,,1036.576,21.51894062,c(1036.57575063455, 1037.54510369285),c(1, 0.740583624075904),30,c(4059.3285971933, 3003.17198287727),37.69536644,65,0,11,0,0,0,0,0,1637,,,,,,,,,
30.1675,,1066.519,21.49997655,c(1066.51881691065, 1067.52900044753),c(1, 0.875358157512542),30,c(2209.45152569761, 1936.50107240213),37.55759322,77,0,15,0,0,0,0,0,1675,,,,,,,,,
30.1681,,1072.527,21.51485339,c(1072.52663068502, 1073.54413624091),c(1, 0.76234718976721),30,c(7720.61989512553, 5883.47180078364),37.66558082,67,0,11,0,0,0,1,0,1681,,,,,,,,,
30.1682,,1074.556,21.51143045,c(1074.5561917791, 1075.55853275626),c(1, 0.570282643818257),30,c(22388.9052612825, 12773.7442731098),37.64067517,50,0,6,0,0,0,1,0,1682,,,,,,,,,
30.1783,,1158.464,21.50867313,c(1158.46386370813,1159.466531, 1160.47182513904),c(1,0.704965255, 0.553757072443137),30,c(4394.00303420634,3102.271237, 2436.76919707598),37.62063842,62,0,6,0,0,0,0,1,1783,,,,,,
30.191,,1278.632,21.4935703,c(1278.63173485635, 1279.63679497709),c(1, 0.693566175027618),30,c(3298.12387548378, 2285.76281626179),37.51129764,61,0,7,0,0,0,1,0,1910,,,,,,,,,
30.2095,,1588.831,21.50285573,c(1588.83122407522, 1589.83945511472),c(1, 1.2125622456013),30,c(907.757052572672, 1119.08166188606),37.57844026,107,0,16,0,0,0,1,0,2095,,,,,,,,,
32.163,,270.075,14.04873575,c(270.07522768003, 271.077806703664),c(1, 0.144755278989287),32,c(47952.8343962854, 6934.28875552933),23.12756406,12,0,1,0,0,0,0,1,143,,,,,,,,,
32.43,,404.159,14.07975953,c(404.15903860622, 405.138240530227),c(1, 0.218695259962528),32,c(30797.0235876221, 6740.63814423877),23.14667008,19,0,1,0,0,0,0,1,416,,,,,,,,,
32.595,,474.082,14.04349645,c(474.081780072336, 475.08810428929),c(1, 0.27769591841753),32,c(10376.5886639932, 2883.40157431583),23.12431242,24,0,3,0,0,0,0,0,585,,,,,,,,,
32.727,,528.058,14.05426007,c(528.058262869423, 529.060851747444),c(1, 0.398841269960882),32,c(4113.72280330718, 1647.5543115615),23.13098474,35,0,6,0,0,0,0,0,722,,,,,,,,,
32.969,,638.113,14.04827871,c(638.11300981234,639.1160911, 640.119494001386),c(1,0.298551306, 0.0921232539340432),32,c(131619.852124918,39295.2239, 12127.1746045715),23.1272807,26,0,2,0,0,0,0,1,967,,,,,,
32.1014,,660.095,14.05353481,c(660.094932842695,661.097664, 662.103661481092),c(1,0.338423666, 0.143167882620989),32,c(15126.2527879664,5124.706948, 2169.59552440887),23.13053611,30,0,3,0,0,0,0,1,1012,,,,,,
32.106,,676.069,14.06331579,c(676.069064857034,677.0711639, 678.074155046872),c(1,0.407585346, 0.349930883800237),32,c(4500.89549260988,1831.54988, 1574.39555567164),23.13657467,36,0,4,0,0,0,0,0,1059,,,,,,
32.1171,,722.064,14.05929753,c(722.063749322885, 723.070251282737),c(1, 0.492436555691991),32,c(2113.50599894855, 1041.45269440737),23.13409693,43,0,6,0,0,0,0,0,1171,,,,,,,,,
37.85,,206.167,22.44512575,c(206.166606926075, 207.170482191288),c(1, 0.160522600841242),37,c(7912.17422818214, 1266.85569399562),45.8744772,14,0,0,0,0,0,1,0,56,,,,,,,,,
37.169,,272.236,22.46141679,c(272.236432967365,273.2397276, 274.24774688588),c(1,0.17966528, 0.0275181052248574),37,c(96890.1641905927,17407.79844, 2666.23373345044),46.046136,16,0,0,1,0,0,0,0,149,,,,,,
37.19,,286.217,22.4047743,c(286.216665267628, 287.218251920901),c(1, 0.19524299787484),37,c(34421.1220204121, 6720.48305348091),45.45376527,17,0,1,1,0,0,0,0,170,,,,,,,,,
37.272,,338.197,22.44929102,c(338.196582506749, 339.209266420992),c(1, 0.144183610551083),37,c(619232.621295885, 89283.1951094518),45.91826744,12,0,0,1,0,0,0,1,254,,,,,,,,,
37.375,,382.281,22.4868545,c(382.281175452561,383.3033609, 384.305504199335),c(1,0.036241226, 0.0171203194052701),37,c(241456.716681652,8750.687329, 4133.8161121377),46.31626511,3,0,0,1,1,0,0,1,360,,,,,,
37.41,,398.234,22.40902729,c(398.234266376535,399.2383586, 400.235298768772),c(1,0.23903129, 0.0981639797956136),37,c(452482.51446235,108157.4792, 44417.4844075506),45.49780881,21,1,1,1,0,0,0,0,395,,,,,,
37.626,,486.309,22.39458376,c(486.309412074518, 487.313559612252),c(1, 0.316978412826424),37,c(241796.656126027, 76644.3202855646),45.34851856,28,0,2,1,0,0,0,1,617,,,,,,,,,
37.785,,558.45,22.44317304,c(558.450013373962,559.4513061, 560.451744762539),c(1,0.420076838, 0.258805652172073),37,c(7371.61356206387,3096.644116, 1907.81525549044),45.85397136,37,0,3,0,0,0,1,0,780,,,,,,
37.792,,560.325,22.49906121,c(560.324662351459,561.3300276,562.3391709, 563.335612282523),c(1,0.350743094,0.330711044, 0.214579570284264),37,c(14580.3212710738,5113.947001,4821.873268, 3128.63907295353),46.44680094,31,0,2,1,0,0,0,1,787,,,
37.819,,568.432,22.50175539,c(568.431509884573, 569.429726434538),c(1, 0.42165101879625),37,c(8724.58443655472, 3678.72991624721),46.47569161,37,0,3,0,0,0,1,0,815,,,,,,,,,
37.826,,572.298,22.42631814,c(572.298212016722, 573.30397303864),c(1, 0.328830918823503),37,c(31999.3512459513, 10522.3760719622),45.67759516,29,0,2,1,0,0,0,1,822,,,,,,,,,
37.899,,606.43,22.40905844,c(606.430078318039, 607.435675462075),c(1, 1.02225775717189),37,c(8253.44826345797, 8428.6146003166),45.49813157,90,0,22,0,0,0,0,0,896,,,,,,,,,
37.93,,620.396,22.41515774,c(620.395683536194,621.3903336, 622.422733494007),c(1,0.377433686, 0.66601790492444),37,c(12372.0837670532,4669.641184, 8240.02931008243),45.56141864,33,0,2,1,0,0,0,1,928,,,,,,
37.961,,634.388,22.46223778,c(634.387788594637,635.3942533, 636.40008543212),c(1,0.393644512, 0.148212023115276),37,c(87157.0576291464,34308.89743, 12917.7238399904),46.05481443,34,0,2,1,0,0,0,1,959,,,,,,
37.1065,,676.368,22.457323,c(676.36788042216, 677.370582179433),c(1, 0.308486666091518),37,c(41678.7991900311, 12857.3538088305),46.00290156,27,0,0,1,0,0,0,1,1064,,,,,,,,,
37.1087,,684.418,22.43121949,c(684.418395722695,685.4441205, 686.389304361644),c(1,0.454304551, 1.41085563859341),37,c(11876.5907405079,5395.589222, 16756.1550135118),45.72877028,40,0,3,0,0,0,0,1,1087,,,,,,
37.1175,,722.38,22.4337599,c(722.380295471877,723.3801927, 724.38638042061),c(1,0.411764051, 0.331995489757264),37,c(19630.7938321917,8083.255184, 6517.33501264234),45.75533163,36,0,2,1,0,0,0,1,1175,,,,,,
37.1186,,728.482,22.41532851,c(728.482470602894,729.4834507, 730.50635167853),c(1,0.561316911, 0.315373565143324),37,c(8086.34395775716,4539.001611, 2550.21912293306),45.56319268,49,0,5,0,0,0,1,0,1186,,,,,,
37.1219,,746.415,22.40702123,c(746.415047157026, 747.413009860104),c(1, 0.474996932020179),37,c(8247.81316053356, 3917.68594712909),45.47702545,42,0,4,0,0,0,0,1,1219,,,,,,,,,
37.127,,772.44,22.4352971,c(772.439839454578, 773.444766834991),c(1, 0.416135344598107),37,c(33571.1695537008, 13970.1502107908),45.77141613,36,0,2,1,0,0,0,1,1270,,,,,,,,,
37.132,,804.525,22.47588835,c(804.525414417132,805.5267786, 806.521468752066),c(1,0.501449399, 0.460608244114436),37,c(12322.6999941636,6179.210504, 5675.93720706069),46.1994994,44,0,7,0,0,0,0,0,1320,,,,,,
37.1385,,840.516,22.47268893,c(840.516176272816, 841.517081407417),c(1, 0.456071624026137),37,c(5153.85850389653, 2350.52861787301),46.16552215,40,0,5,0,0,0,1,0,1385,,,,,,,,,
37.1439,,880.596,22.43409114,c(880.595555640624,881.6140165, 882.591683605772),c(1,0.404030281, 0.970110050838876),37,c(4603.39926671604,1859.912697, 4465.80389666554),45.75879679,35,0,3,0,0,0,1,0,1439,,,,,,
37.1487,,916.478,22.43025312,c(916.478200303592, 917.478416059568),c(1, 0.551597904062113),37,c(4366.84507733396, 2404.46688036471),45.71867293,48,0,4,0,0,0,0,1,1487,,,,,,,,,
37.1506,,928.563,22.41388674,c(928.562848406012, 929.564195769074),c(1, 0.598116014247226),37,c(5494.9914324584, 3281.21400165615),45.54821868,52,0,8,0,0,0,0,0,1506,,,,,,,,,
37.1549,,962.482,22.4228099,c(962.481850559688, 963.4807730535),c(1, 0.69914070073475),37,c(3357.31457072605, 2347.2352615644),45.64102311,61,0,7,0,0,0,0,0,1549,,,,,,,,,
37.1555,,966.594,22.48426125,c(966.593764587356, 967.58388270258),c(1, 0.587176504180181),37,c(4499.07611479572, 2638.47450838773),46.2886097,52,0,7,0,0,0,1,0,1555,,,,,,,,,
37.1561,,970.563,22.46070581,c(970.563464680546,971.5579411,972.5792436, 973.541957493481),c(1,0.704314482,1.362360407, 1.07597263639755),37,c(3057.52419597992,2153.458571,4165.449907, 3288.25929075986),46.03862261,62,0,10,0,0,0,0,0,1561,,,
37.1573,,982.666,22.39011955,c(982.666406616959, 983.672993165221),c(1, 0.618029981140571),37,c(6346.40295480915, 3919.0210999148),45.30253938,54,0,7,0,0,0,1,0,1573,,,,,,,,,
37.1595,,1002.56,22.42651813,c(1002.56034143109,1003.570063, 1004.57366604329),c(1,0.606899381, 0.633175993456391),37,c(6109.86412672512,3708.072756, 3868.61928832274),45.67968136,53,0,7,0,0,0,1,0,1595,,,,,,
37.1603,,1009.662,22.39812938,c(1009.66240827359,1010.661768, 1011.66409569452),c(1,0.587742546, 0.351609049306274),37,c(9469.23095276874,5570.30674, 3329.46729296456),45.38509166,52,0,6,0,0,0,0,0,1603,,,,,,
37.1616,,1016.578,22.40627146,c(1016.57823180702, 1017.5855378087),c(1, 0.667203258245738),37,c(4014.7207597915, 2678.63477187969),45.46926167,59,0,9,0,0,0,1,0,1616,,,,,,,,,
37.1624,,1022.546,22.46596481,c(1022.54643781818, 1023.54690412922),c(1, 0.628293500910754),37,c(3934.9025185012, 2472.27367909167),46.09424494,55,0,8,0,0,0,1,0,1624,,,,,,,,,
37.1644,,1040.666,22.38864089,c(1040.66629402813,1041.668705,1042.668703, 1043.67152918878),c(1,0.641665629,0.294171216, 0.10156460676313),37,c(61403.5638497916,39404.69337,18071.28247, 6241.78321597679),45.28732687,56,1,7,0,0,0,1,0,1644,,,
37.1651,,1048.516,22.44480141,c(1048.51568833077,1049.522938, 1050.53080238694),c(1,0.603499974, 0.921261792558559),37,c(2466.64070755255,1490.046146, 2279.44385209395),45.87107019,53,0,7,0,0,0,1,0,1651,,,,,,
37.1691,,1081.742,22.46711475,c(1081.74166668155,1082.743207,1083.74302, 1084.74927982637),c(1,0.659556763,0.268639956, 0.0912239403258057),37,c(36977.516407789,24389.25251,9933.638381, 3376.06529296085),46.10642196,58,1,7,0,0,0,1,0,1691,,,
37.1704,,1094.518,22.46835461,c(1094.51786158134,1095.525563,1096.534713, 1097.53702118733),c(1,0.636151385,0.923588197, 0.54199835953078),37,c(3295.44405393262,2096.4013,3043.633231, 1781.47932795724),46.11955695,56,0,7,0,0,0,1,0,1704,,,
37.1739,,1122.766,22.45918582,c(1122.76639551003, 1123.77634859121),c(1, 1.06858035729679),37,c(4211.60463506633, 4498.78137791791),46.02256655,94,0,0,0,0,0,1,0,1739,,,,,,,,,
37.1847,,1228.663,22.43533802,c(1228.6632707614,1229.660444, 1230.66608101549),c(1,0.817084038, 0.944987007882438),37,c(1486.02767521491,1194.044659, 1397.67185291315),45.77184452,72,0,10,0,0,0,1,0,1847,,,,,,
37.1854,,1236.763,22.45087384,c(1236.7631062694,1237.773036,1238.779982,1239.781577, 1240.79125432919),c(1,0.636918101,1.022453957,0.790807079, 0.591096786569558),37,c(2147.33762425746,1365.852246,2181.215825,1701.450917, 1275.58619179829),45.93492577,56,0,5,0,0,0,1,0,1854
37.188,,1254.806,22.50476697,c(1254.80595589757, 1255.81165837899),c(1, 0.388221750173589),37,c(2951.64084649353, 1127.80458825367),46.50802008,34,0,0,0,0,0,1,1,1880,,,,,,,,,
37.1886,,1258.738,22.49315717,c(1258.73763626045, 1259.74955292236),c(1, 0.801765867301493),37,c(1209.32756089728, 976.147307099871),46.38359062,71,0,9,0,0,0,1,0,1886,,,,,,,,,
37.1904,,1270.808,22.42165323,c(1270.8078429045, 1271.82445240832),c(1, 0.482658432452717),37,c(1838.37126117797, 879.088512446778),45.62897575,42,0,1,0,0,0,1,0,1904,,,,,,,,,
37.1966,,1353.816,22.48285724,c(1353.81627077246,1354.806322, 1355.81832923971),c(1,0.839028152, 0.540496478376578),37,c(1619.77025468604,1363.352771, 871.492107513509),46.27364788,74,0,9,0,0,0,1,0,1966,,,,,,
37.1979,,1374.726,22.47733343,c(1374.72588699578, 1375.74090595709),c(1, 0.885134182035264),37,c(1234.23914963628, 1091.1488505623),46.21485919,78,0,10,0,0,0,1,0,1979,,,,,,,,,
